"Var1"	"Var2"	"Var3"	"Freq"
"Biomass Ratio"	"-0.0131082478309836"	"0.000782931173105461"	0
"CFUpernodule"	"-0.0131082478309836"	"0.000782931173105461"	1
"CFUperplant"	"-0.0131082478309836"	"0.000782931173105461"	0
"Nodule Number"	"-0.0131082478309836"	"0.000782931173105461"	0
"Size per Nodule"	"-0.0131082478309836"	"0.000782931173105461"	0
"Total Nodulated Area"	"-0.0131082478309836"	"0.000782931173105461"	0
"Biomass Ratio"	"0.0320853520152394"	"0.000782931173105461"	0
"CFUpernodule"	"0.0320853520152394"	"0.000782931173105461"	0
"CFUperplant"	"0.0320853520152394"	"0.000782931173105461"	0
"Nodule Number"	"0.0320853520152394"	"0.000782931173105461"	0
"Size per Nodule"	"0.0320853520152394"	"0.000782931173105461"	0
"Total Nodulated Area"	"0.0320853520152394"	"0.000782931173105461"	0
"Biomass Ratio"	"0.193856109899849"	"0.000782931173105461"	0
"CFUpernodule"	"0.193856109899849"	"0.000782931173105461"	0
"CFUperplant"	"0.193856109899849"	"0.000782931173105461"	0
"Nodule Number"	"0.193856109899849"	"0.000782931173105461"	0
"Size per Nodule"	"0.193856109899849"	"0.000782931173105461"	0
"Total Nodulated Area"	"0.193856109899849"	"0.000782931173105461"	0
"Biomass Ratio"	"0.329354537801276"	"0.000782931173105461"	0
"CFUpernodule"	"0.329354537801276"	"0.000782931173105461"	0
"CFUperplant"	"0.329354537801276"	"0.000782931173105461"	0
"Nodule Number"	"0.329354537801276"	"0.000782931173105461"	0
"Size per Nodule"	"0.329354537801276"	"0.000782931173105461"	0
"Total Nodulated Area"	"0.329354537801276"	"0.000782931173105461"	0
"Biomass Ratio"	"0.357692433618877"	"0.000782931173105461"	0
"CFUpernodule"	"0.357692433618877"	"0.000782931173105461"	0
"CFUperplant"	"0.357692433618877"	"0.000782931173105461"	0
"Nodule Number"	"0.357692433618877"	"0.000782931173105461"	0
"Size per Nodule"	"0.357692433618877"	"0.000782931173105461"	0
"Total Nodulated Area"	"0.357692433618877"	"0.000782931173105461"	0
"Biomass Ratio"	"0.483794704450837"	"0.000782931173105461"	0
"CFUpernodule"	"0.483794704450837"	"0.000782931173105461"	0
"CFUperplant"	"0.483794704450837"	"0.000782931173105461"	0
"Nodule Number"	"0.483794704450837"	"0.000782931173105461"	0
"Size per Nodule"	"0.483794704450837"	"0.000782931173105461"	0
"Total Nodulated Area"	"0.483794704450837"	"0.000782931173105461"	0
"Biomass Ratio"	"-0.0131082478309836"	"0.146023462205577"	0
"CFUpernodule"	"-0.0131082478309836"	"0.146023462205577"	0
"CFUperplant"	"-0.0131082478309836"	"0.146023462205577"	0
"Nodule Number"	"-0.0131082478309836"	"0.146023462205577"	0
"Size per Nodule"	"-0.0131082478309836"	"0.146023462205577"	0
"Total Nodulated Area"	"-0.0131082478309836"	"0.146023462205577"	0
"Biomass Ratio"	"0.0320853520152394"	"0.146023462205577"	0
"CFUpernodule"	"0.0320853520152394"	"0.146023462205577"	0
"CFUperplant"	"0.0320853520152394"	"0.146023462205577"	1
"Nodule Number"	"0.0320853520152394"	"0.146023462205577"	0
"Size per Nodule"	"0.0320853520152394"	"0.146023462205577"	0
"Total Nodulated Area"	"0.0320853520152394"	"0.146023462205577"	0
"Biomass Ratio"	"0.193856109899849"	"0.146023462205577"	0
"CFUpernodule"	"0.193856109899849"	"0.146023462205577"	0
"CFUperplant"	"0.193856109899849"	"0.146023462205577"	0
"Nodule Number"	"0.193856109899849"	"0.146023462205577"	0
"Size per Nodule"	"0.193856109899849"	"0.146023462205577"	0
"Total Nodulated Area"	"0.193856109899849"	"0.146023462205577"	0
"Biomass Ratio"	"0.329354537801276"	"0.146023462205577"	0
"CFUpernodule"	"0.329354537801276"	"0.146023462205577"	0
"CFUperplant"	"0.329354537801276"	"0.146023462205577"	0
"Nodule Number"	"0.329354537801276"	"0.146023462205577"	0
"Size per Nodule"	"0.329354537801276"	"0.146023462205577"	0
"Total Nodulated Area"	"0.329354537801276"	"0.146023462205577"	0
"Biomass Ratio"	"0.357692433618877"	"0.146023462205577"	0
"CFUpernodule"	"0.357692433618877"	"0.146023462205577"	0
"CFUperplant"	"0.357692433618877"	"0.146023462205577"	0
"Nodule Number"	"0.357692433618877"	"0.146023462205577"	0
"Size per Nodule"	"0.357692433618877"	"0.146023462205577"	0
"Total Nodulated Area"	"0.357692433618877"	"0.146023462205577"	0
"Biomass Ratio"	"0.483794704450837"	"0.146023462205577"	0
"CFUpernodule"	"0.483794704450837"	"0.146023462205577"	0
"CFUperplant"	"0.483794704450837"	"0.146023462205577"	0
"Nodule Number"	"0.483794704450837"	"0.146023462205577"	0
"Size per Nodule"	"0.483794704450837"	"0.146023462205577"	0
"Total Nodulated Area"	"0.483794704450837"	"0.146023462205577"	0
"Biomass Ratio"	"-0.0131082478309836"	"0.477463790301218"	0
"CFUpernodule"	"-0.0131082478309836"	"0.477463790301218"	0
"CFUperplant"	"-0.0131082478309836"	"0.477463790301218"	0
"Nodule Number"	"-0.0131082478309836"	"0.477463790301218"	0
"Size per Nodule"	"-0.0131082478309836"	"0.477463790301218"	0
"Total Nodulated Area"	"-0.0131082478309836"	"0.477463790301218"	0
"Biomass Ratio"	"0.0320853520152394"	"0.477463790301218"	0
"CFUpernodule"	"0.0320853520152394"	"0.477463790301218"	0
"CFUperplant"	"0.0320853520152394"	"0.477463790301218"	0
"Nodule Number"	"0.0320853520152394"	"0.477463790301218"	0
"Size per Nodule"	"0.0320853520152394"	"0.477463790301218"	0
"Total Nodulated Area"	"0.0320853520152394"	"0.477463790301218"	0
"Biomass Ratio"	"0.193856109899849"	"0.477463790301218"	0
"CFUpernodule"	"0.193856109899849"	"0.477463790301218"	0
"CFUperplant"	"0.193856109899849"	"0.477463790301218"	0
"Nodule Number"	"0.193856109899849"	"0.477463790301218"	0
"Size per Nodule"	"0.193856109899849"	"0.477463790301218"	1
"Total Nodulated Area"	"0.193856109899849"	"0.477463790301218"	0
"Biomass Ratio"	"0.329354537801276"	"0.477463790301218"	0
"CFUpernodule"	"0.329354537801276"	"0.477463790301218"	0
"CFUperplant"	"0.329354537801276"	"0.477463790301218"	0
"Nodule Number"	"0.329354537801276"	"0.477463790301218"	0
"Size per Nodule"	"0.329354537801276"	"0.477463790301218"	0
"Total Nodulated Area"	"0.329354537801276"	"0.477463790301218"	0
"Biomass Ratio"	"0.357692433618877"	"0.477463790301218"	0
"CFUpernodule"	"0.357692433618877"	"0.477463790301218"	0
"CFUperplant"	"0.357692433618877"	"0.477463790301218"	0
"Nodule Number"	"0.357692433618877"	"0.477463790301218"	0
"Size per Nodule"	"0.357692433618877"	"0.477463790301218"	0
"Total Nodulated Area"	"0.357692433618877"	"0.477463790301218"	0
"Biomass Ratio"	"0.483794704450837"	"0.477463790301218"	0
"CFUpernodule"	"0.483794704450837"	"0.477463790301218"	0
"CFUperplant"	"0.483794704450837"	"0.477463790301218"	0
"Nodule Number"	"0.483794704450837"	"0.477463790301218"	0
"Size per Nodule"	"0.483794704450837"	"0.477463790301218"	0
"Total Nodulated Area"	"0.483794704450837"	"0.477463790301218"	0
"Biomass Ratio"	"-0.0131082478309836"	"0.4840049660259"	0
"CFUpernodule"	"-0.0131082478309836"	"0.4840049660259"	0
"CFUperplant"	"-0.0131082478309836"	"0.4840049660259"	0
"Nodule Number"	"-0.0131082478309836"	"0.4840049660259"	0
"Size per Nodule"	"-0.0131082478309836"	"0.4840049660259"	0
"Total Nodulated Area"	"-0.0131082478309836"	"0.4840049660259"	0
